Run,Checkpoint,Modo,Seed,estado,origen,destino
r128_a256_d005,epoch_20_loss_0.1982,ionian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_20_loss_0.1982_ionian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_20_loss_0.1982\ionian_seed1111.flac
r128_a256_d005,epoch_20_loss_0.1982,ionian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_20_loss_0.1982_ionian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_20_loss_0.1982\ionian_seed2222.flac
r128_a256_d005,epoch_20_loss_0.1982,dorian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_20_loss_0.1982_dorian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_20_loss_0.1982\dorian_seed1111.flac
r128_a256_d005,epoch_20_loss_0.1982,dorian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_20_loss_0.1982_dorian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_20_loss_0.1982\dorian_seed2222.flac
r128_a256_d005,epoch_20_loss_0.1982,phrygian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_20_loss_0.1982_phrygian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_20_loss_0.1982\phrygian_seed1111.flac
r128_a256_d005,epoch_20_loss_0.1982,phrygian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_20_loss_0.1982_phrygian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_20_loss_0.1982\phrygian_seed2222.flac
r128_a256_d005,epoch_20_loss_0.1982,lydian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_20_loss_0.1982_lydian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_20_loss_0.1982\lydian_seed1111.flac
r128_a256_d005,epoch_20_loss_0.1982,lydian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_20_loss_0.1982_lydian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_20_loss_0.1982\lydian_seed2222.flac
r128_a256_d005,epoch_20_loss_0.1982,mixolydian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_20_loss_0.1982_mixolydian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_20_loss_0.1982\mixolydian_seed1111.flac
r128_a256_d005,epoch_20_loss_0.1982,mixolydian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_20_loss_0.1982_mixolydian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_20_loss_0.1982\mixolydian_seed2222.flac
