exp_id,frozen_mode,rank,alpha,lr,dropout,epoch_checkpoint,auto_score_0_1,modal_accuracy,in_mode_ratio,tonal_stability,tonic_dominance,template_similarity,training_status,training_duration_sec,training_error
1,B,32,32,1e-04,0.05,140,0.724416,0.741638,0.741638,0.893237,0.117618,0.890238,SUCCESS,5421.0,
2,B,32,32,1e-04,0.1,140,0.724368,0.741624,0.741624,0.893190,0.117324,0.890227,SUCCESS,5436.2,
3,B,32,32,1e-03,0.05,140,0.705340,0.714836,0.714836,0.887224,0.117654,0.872277,SUCCESS,5436.1,
4,B,32,32,1e-03,0.1,140,0.702900,0.713407,0.713407,0.880668,0.115781,0.871436,SUCCESS,5436.2,
5,B,32,128,1e-04,0.05,140,0.720194,0.734356,0.734356,0.893613,0.126440,0.882140,SUCCESS,5436.2,
6,B,32,128,1e-04,0.1,140,0.720311,0.734589,0.734589,0.894044,0.124958,0.882529,SUCCESS,5441.2,
7,B,32,128,1e-03,0.05,140,0.681471,0.677671,0.677671,0.887358,0.141614,0.832358,SUCCESS,4646.1,
8,B,32,128,1e-03,0.1,140,0.673712,0.675373,0.675373,0.863937,0.118069,0.838934,SUCCESS,5431.5,
9,B,64,32,1e-04,0.05,140,0.724262,0.741780,0.741780,0.889563,0.122309,0.890502,SUCCESS,5436.5,
10,B,64,32,1e-04,0.1,140,0.724106,0.741660,0.741660,0.889098,0.122447,0.890456,SUCCESS,5446.3,
11,B,64,32,1e-03,0.05,140,0.688992,0.694403,0.694403,0.878917,0.114794,0.850870,SUCCESS,5441.1,
12,B,64,32,1e-03,0.1,140,0.701957,0.710560,0.710560,0.886899,0.116009,0.866399,SUCCESS,5446.1,
13,B,64,128,1e-04,0.05,140,0.716502,0.730834,0.730834,0.885469,0.127498,0.881579,SUCCESS,5446.1,
14,B,64,128,1e-04,0.1,140,0.717047,0.731349,0.731349,0.885909,0.128298,0.882255,SUCCESS,5451.0,
15,B,64,128,1e-03,0.05,140,0.702594,0.710795,0.710795,0.892809,0.118716,0.856837,SUCCESS,5451.1,
16,B,64,128,1e-03,0.1,140,0.700174,0.711108,0.711108,0.881337,0.114818,0.857598,SUCCESS,5451.2,
17,B,128,32,1e-04,0.05,140,0.724005,0.742832,0.742832,0.888923,0.112370,0.892845,SUCCESS,5541.1,
19,B,128,32,1e-03,0.05,140,0.698057,0.705814,0.705814,0.882820,0.110567,0.869474,SUCCESS,800.0,
20,B,128,32,1e-03,0.1,140,0.694040,0.699373,0.699373,0.884414,0.110338,0.864998,SUCCESS,5536.3,
21,B,128,128,1e-04,0.05,140,0.720681,0.735292,0.735292,0.890193,0.128053,0.886615,SUCCESS,5551.1,
22,B,128,128,1e-04,0.1,140,0.720294,0.734958,0.734958,0.890387,0.126232,0.886188,SUCCESS,5546.2,
23,B,128,128,1e-03,0.05,140,0.684837,0.689528,0.689528,0.871574,0.118706,0.849345,SUCCESS,5546.1,
24,B,128,128,1e-03,0.1,140,0.683870,0.689363,0.689363,0.862345,0.117797,0.860037,SUCCESS,5546.1,
18,B,128,32,1e-04,0.1,140,0.724107,0.742919,0.742919,0.887280,0.112953,0.896047,SUCCESS,2590.6,
